Фамилия Имя              баллы   оценка  
________________________________________
Архипов Игорь             10       5
Вострелин Влад            10       5
Востриков Влад             8       4
Горкин Александра          8       4
Горынина Александра        8       4
Иванов Виктор              2       2
Иванова Виктория           2       2
Калашников Стас            7       4
Капшанинов Степан          7       4
Крылов Алексей            10       5
Крылова Алеся              5       3
Кудряшов Семен            10       5
Кудряшова Виктория         2       2
Кустов Игорь               9       5
Мартыненко Елена           7       4
Мартынов Евгений           7       4
Петренко Алексей           2       2
Петров Владислав           2       2
Поляков Михаил             1       2
Полякова Милена            8       4
Рудаков Виктор             0       2
Рудакова Виктория          7       4
Сидоров Михаил             1       2
Сидорова Елена             1       2
Утц Андрей                 1       2
Утц Анна                  10       5
Шестакова Дарья           10       5
Шестина Дарья             10       5
